綠化單元代碼,設置年度,縣市,綠化單元名稱,基地地址,"座標
(WGS 84 X)","座標
(WGS 84 Y)",TWD97X,TWD97Y,基地面積(平方公尺),"補助單位
(下拉式選單)","設置地點類型
(下拉式選單)","維運單位類型
(下拉式選單)","列管狀態
(下拉式選單)",單位名稱,地址,聯絡人,聯絡電話,認養單位,"類型
(下拉式選單)","認養期限
(民國年?月?日)",迄今認養年度
gw-11,113,基隆市,中山國小,基隆市中山區通仁街28號,25.14588625,121.7377459,324381.218,2782139.838,143.4,中山國小,國小,自行維運,未解列,中山國小,基隆市中山區通仁街28號,校方,02-24223053,-,-,-,-
gw-12,113,基隆市,中華國小,基隆市中山區中華路46巷26號,25.14943255,121.738344,324439.368,2782532.992,84.4,中華國小,國小,自行維運,未解列,中華國小,基隆市中山區中華路46巷26號,校方,02 2422 5530,-,-,-,-
gw-13,113,基隆市,二信國小,基隆市安樂區樂利三街19號,25.12886838,121.7176956,322369.661,2780243.867,200,二信國小,國小,自行維運,未解列,二信國小,基隆市安樂區樂利三街19號,校方,02 2433 2666,-,-,-,-
gw-14,108,臺北市,蘭雅國小,臺北市士林區磺溪街57號,25.10840719,121.5231469,302760.486,2777887.238,20,環境部,國小,自行維運,設置中,蘭雅國小,臺北市士林區磺溪街57號,陳寓誼,02-2836-6052#232,蘭雅國小,自行維運,民國113年12月31日,5
gw-15,109,臺北市,辛亥國小,臺北市文山區辛亥路四段103號,25.00628608,121.5585494,306377.685,2766589.987,85.2,環境部,國小,自行維運,設置中,辛亥國小,臺北市文山區辛亥路四段103號,高如月,02-2935-7282#142,辛亥國小,自行維運,民國113年12月31日,4
gw-16,109,臺北市,桃源國小,臺北市北投區中央北路三段40巷45號,25.13964497,121.4845111,298851.501,2781332.788,20.5,環境部,國小,自行維運,設置中,桃源國小,臺北市北投區中央北路三段40巷45號,游景年,02-2894-1208#132,桃源國小,自行維運,民國113年12月31日,4
gw-17,110,臺北市,雙園國小,臺北市萬華區莒光路315號,25.03093657,121.4981582,300271.897,2769296.631,60,環境部,國小,自行維運,設置中,雙園國小,臺北市萬華區莒光路315號,王惟俊,02-2306-1893#131,雙園國小,自行維運,民國113年12月31日,3
gw-18,110,臺北市,信義國小,臺北市信義區松勤街60號,25.03183255,121.5632245,306837.814,2769421.608,50.9,環境部,國小,自行維運,設置中,信義國小,臺北市信義區松勤街60號,蔡育婷,02-2720-4005#832,信義國小,自行維運,民國113年12月31日,3
gw-19,110,臺北市,雙蓮國小,臺北市大同區錦西街51號,25.06011845,121.5166721,302127.925,2772535.974,14,環境部,國小,自行維運,設置中,雙蓮國小,臺北市大同區錦西街51號,葉伶俐,02-2557-0309#1032,雙蓮國小,自行維運,民國113年12月31日,3
gw-20,110,臺北市,文林國小,臺北市北投區建民里文林北路155號,25.10592914,121.5147366,301913.321,2777609.493,6,環境部,國小,自行維運,設置中,文林國小,臺北市北投區建民里文林北路155號,徐先生,(02)2823-4212#405,文林國小,自行維運,民國113年12月31日,3
gw-21,111,臺北市,景美女中,臺北市文山區木新路三段312號,24.98162549,121.5559089,306122.359,2763857.359,200,環保局,其他,自行維運,設置中,景美女中,臺北市文山區木新路三段312號,蘇裕哲,02-2936-8847#214,景美女中,自行維運,民國113年12月31日,2
gw-22,111,臺北市,和平高中,臺北市大安區臥龍街100號,25.0199079,121.5492527,305433.1771,2768094.976,80,環保局,其他,自行維運,設置中,和平高中,臺北市大安區臥龍街100號,賴怡臻,02-2732-4300#137,和平高中,自行維運,民國113年12月31日,2
gw-23,111,臺北市,木柵高工,臺北市文山區木柵路四段77號,24.99671536,121.5717585,307715.455,2765535.441,75,環保局,其他,自行維運,設置中,木柵高工,臺北市文山區木柵路四段77號,吳槐芬,02-2330-0506#304,木柵高工,自行維運,民國113年12月31日,2
gw-24,111,臺北市,內湖國中,臺北市內湖區陽光街1號,25.07699423,121.5887227,309389.25,2774434.95,50,環保局,國中,自行維運,設置中,內湖國中,臺北市內湖區陽光街1號,尤碧慈,02-2790-0843#225,內湖國中,自行維運,民國113年12月31日,2
gw-25,111,臺北市,龍山國中,臺北市萬華區南寧路46號,25.03606389,121.5045978,300919.648,2769866.965,60,環保局,國中,自行維運,設置中,龍山國中,臺北市萬華區南寧路46號,吳佳蓉,02-2336-2789#304,龍山國中,自行維運,民國113年12月31日,2
gw-26,111,臺北市,中山國中,臺北市松山區復興北路361巷7號,25.06053968,121.5455327,305039.595,2772594.065,60,環保局,國中,自行維運,設置中,中山國中,臺北市松山區復興北路361巷7號,吳郁君,02-2712-6701#314,中山國中,自行維運,民國113年12月31日,2
gw-27,111,臺北市,金華國中,臺北市大安區新生南路二段72號,25.03120115,121.5331234,303800.376,2769339.374,40,環保局,國中,自行維運,設置中,金華國中,臺北市大安區新生南路二段72號,謝欣昀,02-3393-1799#313,金華國中,自行維運,民國113年12月31日,2
gw-28,111,臺北市,興雅國中,臺北市信義區松德路168巷15號,25.03643756,121.5723546,307757.04,2769935.55,75.6,環保局,國中,自行維運,設置中,興雅國中,臺北市信義區松德路168巷15號,孫曉芬,02-2723-2771#350,興雅國中,自行維運,民國113年12月31日,2
gw-29,111,臺北市,南門國中,臺北市中正區廣州街6號,25.03522994,121.5090936,301373.683,2769776.291,40,環保局,國中,自行維運,設置中,南門國中,臺北市中正區廣州街6號,張秋雯,02-2314-2775#345,南門國中,自行維運,民國113年12月31日,2
gw-30,111,臺北市,景興國中,臺北市文山區景興路46巷2號,24.99619011,121.5443459,304948.501,2765465.873,120,環保局,國中,自行維運,設置中,景興國中,臺北市文山區景興路46巷2號,陳麗淑,02-2932-3794#122,景興國中,自行維運,民國113年12月31日,2
gw-31,112,臺北市,關渡國中,臺北市北投區知行路212號,25.11989405,121.4673576,297129.526,2779138.952,15.51,環境部,國中,自行維運,設置中,關渡國中,臺北市北投區知行路212號,楊秀文,02-2858-1770,關渡國中,自行維運,民國113年12月31日,2
gw-32,112,臺北市,陽明山國小,臺北市士林區仰德大道三段61號,25.1198268,121.5529212,305758.171,2779164.118,95,環保局,國小,自行維運,設置中,陽明山國小,臺北市士林區仰德大道三段61號,李哲文,02-28616366#111,陽明山國小,自行維運,民國113年12月31日,2
gw-33,112,臺北市,溪山實小,臺北市士林區至善路三段199號,25.1201907,121.5793493,308423.1425,2779215.605,30,環保局,國小,自行維運,設置中,溪山實小,臺北市士林區至善路三段199號,張良宇,02-28411010#117,溪山實小,自行維運,民國113年12月31日,2
gw-34,112,臺北市,忠孝國中,臺北市大同區西寧北路 32 號,25.05123344,121.508267,301283.61,2771548.609,50,環保局,國中,自行維運,設置中,忠孝國中,臺北市大同區西寧北路 32 號,宋秀珠,02-25524890#34,忠孝國中,自行維運,民國113年12月31日,2
gw-35,112,臺北市,仁愛國中,臺北市大安區 仁愛路四段 130 號,25.03750103,121.5506824,305569.544,2770044.275,120,環保局,國中,自行維運,設置中,仁愛國中,臺北市大安區 仁愛路四段 130 號,廖智偉,02-23255823#1168,仁愛國中,自行維運,民國113年12月31日,2
gw-36,112,臺北市,龍安國小,臺北市大安區新生南路三段33號,25.02395203,121.534846,303977.387,2768537.108,18,環保局,國小,自行維運,設置中,龍安國小,臺北市大安區新生南路三段33號,邱郁棻,02-23632077#726,龍安國小,自行維運,民國113年12月31日,2
gw-37,112,臺北市,銘傳國小,臺北市大安區羅 斯福路四段21號,25.0141332,121.5360678,304105,2767450.01,25,環保局,國小,自行維運,設置中,銘傳國小,臺北市大安區羅 斯福路四段21號,蔡宜珊,02-23639815#31,銘傳國小,自行維運,民國113年12月31日,2
gw-38,112,臺北市,芳和實中,臺北市大安區臥龍街170號,25.0189257,121.5501925,305528.4682,2767986.568,335,環保局,國中,自行維運,設置中,芳和實中,臺北市大安區臥龍街170號,陳羿安,02-27321961#302,芳和實中,自行維運,民國113年12月31日,2
gw-39,112,臺北市,建安國小,臺北市大安區大安路二段99號,25.02938685,121.5461502,305115.816,2769143.651,10,環保局,國小,自行維運,設置中,建安國小,臺北市大安區大安路二段99號,黃婉宜,02-27077119#813,建安國小,自行維運,民國113年12月31日,2
gw-40,112,臺北市,中山國小,臺北市中山區民權東路一段69號,25.06291419,121.5263146,303099.587,2772849.397,200,環保局,國小,自行維運,設置中,中山國小,臺北市中山區民權東路一段69號,黃意文,02-25914085#8023,中山國小,自行維運,民國113年12月31日,2
gw-41,112,臺北市,長安國中,臺北市中山區松江路70巷11號,25.04941324,121.5319246,303671.475,2771356.169,30,環保局,國中,自行維運,設置中,長安國中,臺北市中山區松江路70巷11號,張吉元,02-25112382#501,長安國中,自行維運,民國113年12月31日,2
gw-42,112,臺北市,濱江國小,臺北市中山區樂群二路266巷99號,25.07731262,121.5616838,306661.419,2774458.611,20,環保局,國小,自行維運,設置中,濱江國小,臺北市中山區樂群二路266巷99號,鄭雅庭,02-85021571#1304,濱江國小,自行維運,民國113年12月31日,2
gw-43,112,臺北市,大佳國小,臺北市中山區濱江街107號,25.07330346,121.5359539,304067.552,2774003.994,18,環保局,國小,自行維運,設置中,大佳國小,臺北市中山區濱江街107號,陳素貞,02-2503-5816#170,大佳國小,自行維運,民國113年12月31日,2
gw-44,112,臺北市,明湖國小,臺北市內湖區康寧路三段105號,25.07108119,121.6105533,311594.493,2773789.75,10,環保局,國小,自行維運,設置中,明湖國小,臺北市內湖區康寧路三段105號,林庭米,02-26323477#11,明湖國小,自行維運,民國113年12月31日,2
gw-45,112,臺北市,東湖國小,臺北市內湖區東湖路115號,25.06854021,121.6157821,312123.29,2773510.686,100,環保局,國小,自行維運,設置中,東湖國小,臺北市內湖區東湖路115號,林昭君,02-26339984#149,東湖國小,自行維運,民國113年12月31日,2
gw-46,112,臺北市,溪口國小,臺北市文山區景福街225號,24.99411402,121.5387449,304384.019,2765233.657,28,環保局,國小,自行維運,設置中,溪口國小,臺北市文山區景福街225號,劉家森,02-29350955#715,溪口國小,自行維運,民國113年12月31日,2
gw-47,112,臺北市,興隆國小,臺北市文山區福興路2號,25.00241637,121.5519157,305709.833,2766158.615,125,環保局,國小,自行維運,設置中,興隆國小,臺北市文山區福興路2號,陳瑞仁,02-29323131#613,興隆國小,自行維運,民國113年12月31日,2
gw-48,112,臺北市,實踐國中,臺北市文山區辛亥路七段67號,24.9834361,121.554738,306003.327,2764057.427,112,環保局,國中,自行維運,設置中,實踐國中,臺北市文山區辛亥路七段67號,徐翠蓮,02-22362852#150,實踐國中,自行維運,民國113年12月31日,2
gw-49,112,臺北市,萬芳高中,臺北市文山區興隆三段115巷1號,25.00256424,121.5596803,306493.5396,2766178.207,20,環保局,國中,自行維運,設置中,萬芳高中,臺北市文山區興隆三段115巷1號,陳蓓萱,02-22309585#340,萬芳高中,自行維運,民國113年12月31日,2
gw-50,112,臺北市,義方國小,臺北市北投區珠海路155號,25.14203696,121.5092741,301347.304,2781606.941,220,環保局,國小,自行維運,設置中,義方國小,臺北市北投區珠海路155號,王仁甫,02-28917433,義方國小,自行維運,民國113年12月31日,2
gw-51,112,臺北市,中崙高中,臺北市松山區八德路四段101號,25.05017063,121.561129,306617.924,2771451.963,30,環保局,國小,自行維運,設置中,中崙高中,臺北市松山區八德路四段101號,吳沛璇,02-27535316#400,中崙高中,自行維運,民國113年12月31日,2
gw-52,112,臺北市,健康國小,臺北市松山區延壽街168號,25.05662219,121.5629231,306795.973,2772167.329,50,環保局,國中,自行維運,設置中,健康國小,臺北市松山區延壽街168號,蔡孟憲,02-25282814#121,健康國小,自行維運,民國113年12月31日,2
gw-53,112,臺北市,?公國中,臺北市信義區福德街221巷15號,25.03706761,121.5853271,309065.843,2770010.935,100,環保局,國小,自行維運,設置中,?公國中,臺北市信義區福德街221巷15號,林詩芳,02-27261481#400,?公國中,自行維運,民國113年12月31日,2
gw-54,112,臺北市,興雅國小,臺北市信義區基隆路一段83巷9號,25.04676695,121.570074,307522.077,2771078.724,640,環保局,國中,自行維運,設置中,興雅國小,臺北市信義區基隆路一段83巷9號,黃女芩,02-27618156#608,興雅國小,自行維運,民國113年12月31日,2
gw-55,112,臺北市,松山高中,臺北市信義區松勤街60號,25.03119797,121.5629817,306813.5993,2769351.217,20,環保局,國小,自行維運,設置中,松山高中,臺北市信義區松勤接60號,蕭豫奇,02-27204005#821,松山高中,自行維運,民國113年12月31日,2
gw-56,113,臺北市,文昌國小,臺北市士林區文林路615巷20號,25.09961618,121.5209052,302538.164,2776912.616,135,環保局,國小,自行維運,設置中,文昌國小,臺北市士林區文林路615巷20號,呂組長,02-28365411#124,文昌國小,自行維運,民國114年12月31日,1
gw-57,113,臺北市,興華國小,臺北市文山區興隆路三段125巷6號,24.99884567,121.5586753,306393.788,2765765.9,130,環保局,國小,自行維運,設置中,興華國小,臺北市文山區興隆路三段125巷6號,陳冠呈, 02-22393070#126,興華國小,自行維運,民國114年12月31日,1
gw-58,113,臺北市,成德國中,臺北市南港區東新街108巷23號,25.04506176,121.5878016,309311.709,2770897.499,55,環保局,國中,自行維運,設置中,成德國中,臺北市南港區東新街108巷23號,卓組長, 02-26515636#340,成德國中,自行維運,民國114年12月31日,1
gw-59,113,臺北市,華江高中,臺北市萬華區西藏路213號,25.02822016,121.4965341,300109.106,2768995.145,120,環保局,其他,自行維運,設置中,華江高中,臺北市萬華區西藏路213號,吳組長,02-2301-9946#125,華江高中,自行維運,民國114年12月31日,1
gw-60,113,臺北市,中正高中,臺北市北投區文林北路 77 號,25.10267752,121.5163914,302081.5992,2777249.961,80,環保局,其他,自行維運,設置中,中正高中,臺北市北投區文林北路 77 號,林組長,02-2823-4811#340,中正高中,自行維運,民國114年12月31日,1
gw-61,108,新北市,三峽龍埔國小,新北市三峽區大學路6號,24.94067883,121.3778829,288161.971,2759260.137,34,環境部,國小,志工認養,未解列,三峽龍埔國小,新北市三峽區大學路6號,謝慶龍/總務主任,(02)2674-5666#830,校園綠美化志工,志工認養,109/1/1~至今,5
gw-62,108,新北市,林口麗園國小,新北市林口區忠孝路591號,25.06858933,121.3761948,287952.166,2773427.468,14,環境部,國小,自行維運,未解列,林口麗園國小,新北市林口區忠孝路591號,"謝驊/
總務主任",(02)2609-1061#751,-,-,-,-
gw-63,108,新北市,淡水文化國小,新北市淡水區真理街6號,25.17396526,121.4373811,294087.158,2785118.076,29,環境部,國小,自行維運,未解列,淡水文化國小,新北市淡水區真理街6號,許文玲/總務主任,(02)2621-2031#852,-,-,-,-
gw-64,108,新北市,土城清水國小,新北市土城區金城路二段356號,24.98440189,121.4615083,296590.855,2764129.146,16.8,環境部,國小,志工認養,未解列,土城清水國小,新北市土城區金城路二段356號,趙芳仙/總務主任,(02)2261-8316#831,校園園藝組志工,志工認養,109/1/1~至今,5
gw-65,110,新北市,三峽介壽國小,新北市三峽區大同路1號,24.92982865,121.3785205,288229.705,2758058.524,35,環境部,國小,自行維運,未解列,三峽介壽國小,新北市三峽區大同路1號,王嘉輝/總務主任,(02)2671-2392#40,-,-,-,-
gw-66,110,新北市,土城清水國小,新北市土城區金城路二段356號,24.98440189,121.4615083,296590.855,2764129.146,70,環境部,國小,志工認養,未解列,土城清水國小,新北市土城區金城路二段356號,趙芳仙/總務主任,(02)2261-8316#831,校園園藝組志工,志工認養,111/1/1~至今,3
gw-67,110,新北市,林口南勢國小,新北市林口區南勢五街2號,25.07522705,121.3589003,286205.46,2774157.948,72,環境部,國小,自行維運,未解列,林口南勢國小,新北市林口區南勢五街2號,吳蕙蘭/總務主任,(02)2609-1020#830,-,-,-,-
gw-68,110,新北市,金山三和國小,新北市金山區38號,25.21889044,121.6028891,310748.086,2790158.803,26,環境部,國小,自行維運,未解列,金山三和國小,新北市金山區38號,林華崢/總務主任,(02)2408-0417#275,-,-,-,-
gw-69,110,新北市,林口新林國小,新北市林口區三民路101號,25.06957685,121.3594749,286265.085,2773532.262,67,環境部,國小,志工認養,未解列,林口新林國小,新北市林口區三民路101號,徐淳鈴/總務主任,(02)2608-6521#830,校園綠化志工,志工認養,111/1/1~至今,3
gw-70,110,新北市,林口嘉寶國小,新北市林口區嘉寶里22號,25.10834502,121.3393281,284221.806,2777821.142,24,環境部,國小,自行維運,未解列,林口嘉寶國小,新北市林口區嘉寶里22號,陳慧敏/總務主任,(02)2605-2716#830,-,-,-,-
gw-71,111,新北市,樹林武林國小,新北市樹林區保安街二段151號,25.00164568,121.4153626,291926.379,2766024.073,111.76,環保局,國小,自行維運,未解列,樹林武林國小,新北市樹林區保安街151號,劉叔玫/總務主任,(02)2681-2475#830,-,-,-,-
gw-72,112,新北市,林口麗林國小,新北市林口區公園路46號,25.06871475,121.3679033,287115.638,2773439.059,70.0275,環境部,國小,自行維運,未解列,林口麗林國小,新北市林口區公園路46號,邱秀官/事務組長,(02)2600-8457#166,-,-,-,-
gw-73,112,新北市,板橋新埔國小,新北市板橋區陽明街206號,25.02588324,121.4625936,296684.732,2768724.168,30,環境部,國小,自行維運,未解列,板橋新埔國小,新北市板橋區陽明街206號,揚啟男/總務主任,(02)2257-1830#621,-,-,-,-
gw-74,112,新北市,板橋實踐國小,新北市板橋區實踐路93巷51號,25.00501762,121.4663924,297076.068,2766414.315,51.792,環境部,國小,自行維運,未解列,板橋實踐國小,新北市板橋區實踐路93巷51號,朱廷彩/事務組長,(02)2953-1233#142,-,-,-,-
gw-75,112,新北市,淡水新興國小,新北市淡水區新興街123號,25.17968407,121.4400272,294351.814,2785752.398,68.541,環境部,國小,自行維運,未解列,淡水新興國小,新北市淡水區新興街123號,曾昭輝/總務主任,(02)2620-3646#830,-,-,-,-
gw-76,112,新北市,板橋溪崑國中,新北市板橋區大觀路三段50巷30號,24.99841701,121.4312709,293533.306,2765671.467,106.4,環保局,國中,自行維運,未解列,板橋溪崑國中,新北市板橋區大觀路三段50巷30號,紀虹如/總務主任,(02)2686-9727#380,-,-,-,-
gw-77,113,新北市,新莊興化國小,新北市新莊區五工二路50巷2號,25.06591601,121.4616374,296573.112,2773158.062,22.2,環保局,國小,自行維運,未解列,新莊興化國小,新北市新莊區五工二路50巷2號,吳聰雄/總務主任,(02)2299-1001#401,-,-,-,-
gw-78,113,新北市,中和自強國小,新北市中和區莒光路200號,24.99675007,121.4705293,297496.817,2765500.009,595,環保局,國小,自行維運,未解列,中和自強國小,新北市中和區莒光路200號,林武成/總務主任,(02)2955-7936#830,-,-,-,-
gw-79,113,新北市,板橋埔墘國小,新北市板橋區永豐街42-8號,25.01807514,121.4740759,297846.572,2767863.315,5,環保局,國小,自行維運,未解列,板橋埔墘國小,新北市板橋區永豐街42-8號,林耿彰/行政主任,(02)2961-6690#310,-,-,-,-
gw-80,109,桃園市,永安國民中學,桃園市新屋區中山西路三段96號,24.9882788,121.0435663,254398,2764480.01,15.9,環境部,國中,自行維運,未解列,永安國民中學,桃園市新屋區中山西路三段96號,葉總務主任,03-4862507#510,-,無,-,-
gw-81,109,桃園市,蘆竹國民小學,桃園市蘆竹區富國路二段850號,25.05081926,121.2671264,276952.7,2771433.02,12,環境部,國小,自行維運,未解列,蘆竹國民小學,桃園市蘆竹區富國路二段850號,林總務組長,03-3221731#511,-,無,-,-
gw-82,109,桃園市,山頂國民小學,桃園市龜山區頂興路2號,24.99195872,121.3275936,283069.57,2764926.84,44.4,環境部,國小,自行維運,未解列,山頂國民小學,桃園市龜山區頂興路2號,總務主任,03-3207244#510,-,無,-,-
gw-83,109,桃園市,祥安國民小學,桃園市平鎮區湧安路45號,24.89405154,121.2029522,270503.55,2754057.89,120,環境部,國小,自行維運,未解列,祥安國民小學,桃園市平鎮區湧安路45號,學務主任,03-4192135#310,-,無,-,-
gw-84,109,桃園市,八德興仁花園夜市,桃園市八德區長興路46號,24.93069221,121.2834191,278624.4266,2758130.785,24,環保局,環保夜市,自行維運,未解列,興仁花園夜市管理委員會,桃園市八德區長興路46號,湯先生(副理),0977-111333,-,無,-,-
gw-85,110,桃園市,桃園國民中學,桃園市桃園區莒光街2號,24.99575563,121.3047731,280764.95,2765342.025,29.92,環保局,國中,自行維運,未解列,桃園國民中學,桃園市桃園區莒光街2號,沈總務主任,03-3358282#510,-,無,-,-
gw-86,110,桃園市,龍壽國民小學,桃園市龜山區龍校街30號,25.0108023,121.3876583,289127,2767030.01,15.6,環境部,國小,自行維運,未解列,龍壽國民小學,桃園市龜山區龍校街30號,夏總務主任,03-3296554#521,-,無,-,-
gw-87,110,桃園市,忠福國民小學,桃園市中壢區西園路57號,24.9763744,121.2347902,273704.291,2763181.262,20,環境部,國小,自行維運,未解列,忠福國民小學,桃園市中壢區西園路57號,黃總務主任,03-4340192#510,-,無,-,-
gw-88,110,桃園市,中興國民小學,桃園市大溪區大鶯路1125號,24.92520394,121.3109309,281404.44,2757528.97,10.4,環境部,國小,自行維運,未解列,中興國民小學,桃園市大溪區大鶯路1125號,劉事務組長,03-3801394#514,-,無,-,-
gw-89,110,桃園市,南崁國民小學,桃園市蘆竹區吉林路160號,25.05020137,121.3009349,280364.1,2771371.74,71.58,環保局,國小,自行維運,未解列,南崁國民小學,桃園市蘆竹區吉林路160號,孔總務主任,03-3115578#510,-,無,-,-
gw-90,110,桃園市,六和商圈銀河廣場,桃園市中壢區元化路350號旁,24.93065329,121.2834728,278629.8535,2758126.486,11.9,環保局,環保夜市,自行維運,未解列,桃園市中壢區公所,桃園市中壢區環北路380號,張家銓視導,03-427-1801#3114,-,無,-,-
gw-91,111,桃園市,大安國民小學,桃園市八德區和平路638號,24.95636563,121.315315,281839.235,2760981.521,58.56,環境部,國小,自行維運,未解列,大安國民小學,桃園市八德區和平路638號,曾總務主任,03-3661419#510,-,無,-,-
gw-92,111,桃園市,大竹國民中學,桃園市蘆竹區大竹路國中巷35號,25.02300077,121.2584607,276084.219,2768350.06,5,環境部,國中,自行維運,未解列,大竹國民中學,桃園市蘆竹區大竹路國中巷35號,楊事務組長,03-3232764#511,-,無,-,-
gw-93,111,桃園市,元生國民小學,桃園市中壢區文化二路161號,24.97431351,121.2512878,275370.31,2762955.976,5.88,環境部,國小,自行維運,未解列,元生國民小學,桃園市中壢區文化二路161號,李學務主任,03-4625566,-,無,-,-
gw-94,111,桃園市,大成國民小學,桃園市八德區廣福路31號,24.95863253,121.29849,280139.744,2761228.768,16.6,環境部,國小,自行維運,未解列,大成國民小學,桃園市八德區廣福路31號,崔事務組長,03-3661155#511,-,無,-,-
gw-95,111,桃園市,草漯國民小學,桃園市觀音區新生路1462號,25.04571517,121.1432171,264450.99,2770848.72,76.05,環境部,國小,自行維運,未解列,草漯國民小學,桃園市觀音區新生路1462號,林總務主任,03-4830160#510,-,無,-,-
gw-96,112,桃園市,龍潭國民小學,桃園市龍潭區南龍路13號,24.86390989,121.213652,271589.76,2750721.04,102,環保局,國小,自行維運,未解列,龍潭國民小學,桃園市龍潭區南龍路13號,曾總務主任,03-4792014#510,-,無,-,-
gw-97,112,桃園市,自強國民小學,桃園市龜山區自強東路269號,24.99764968,121.3456804,284893.78,2765561.72,17.05,環境部,國小,自行維運,未解列,自強國民小學,桃園市龜山區自強東路269號,郭總務主任,03-3590758#510,-,無,-,-
gw-98,112,桃園市,桃園市立觀音幼兒園園本部,桃園市觀音區民生路68號,25.05115071,121.1233312,262443.8933,2771448.799,24,環境部,公立幼兒園,自行維運,未解列,桃園市立觀音幼兒園園本部,桃園市觀音區民生路68號,林組長,03-4833170#203,-,無,-,-
gw-99,112,桃園市,桃園市立觀音幼兒園新坡分班,桃園市觀音區新坡里5鄰新生路76巷8弄1號,25.01428803,121.1369168,263818.7909,2767367.115,24.6,環境部,公立幼兒園,自行維運,未解列,桃園市立觀音幼兒園新坡分班,桃園市觀音區新坡里5鄰新生路76巷8弄1號,林組長,03-4833170#203,-,無,-,-
gw-100,112,桃園市,桃園市立觀音幼兒園崙坪分班,桃園市觀音區學府路65巷5號,24.99815249,121.1616843,266320.6701,2765582.661,18.7,環境部,公立幼兒園,自行維運,未解列,桃園市立觀音幼兒園崙坪分班,桃園市觀音區學府路65巷5號,林組長,03-4833170#203,-,無,-,-
gw-101,112,桃園市,桃園市立龜山幼兒園-本園,桃園市龜山區中興路17巷11號,24.98724212,121.329828,283296.3893,2764404.962,26,環境部,公立幼兒園,自行維運,未解列,桃園市立龜山幼兒園-本園,桃園市龜山區中興路17巷11號,陳護理師,03-3506349,-,無,-,-
gw-102,112,桃園市,桃園市立龜山幼兒園-苓林分班,桃園市龜山區忠義路二段438號,25.05097413,121.3593896,286261.9607,2771471.725,20,環境部,公立幼兒園,自行維運,未解列,桃園市立龜山幼兒園-苓林分班,桃園市龜山區忠義路二段438號,陳護理師,03-3280264,-,無,-,-
gw-103,112,桃園市,龍安國民小學,桃園市蘆竹區文中路一段35號,24.99108595,121.2731675,277575.58,2764818,38.108,環境部,國小,自行維運,未解列,龍安國民小學,桃園市蘆竹區文中路一段35號,簡事務組長,03-3922797,-,無,-,-
