醫療院所,縣市,鄉鎮市區,地址,電話,TWD97X,TWD97Y
一品牙醫診所,臺南市,東區,圍下里勝利路49之1號,06 2348588,169784.3,2543396.04
一品牙醫診所,基隆市,信義區,義九路一號,(02)24237060,326233.042,2780230.952
一品堂大甲中醫診所,臺中市,大甲區,光明路140號1樓,04-26885757,211586.5994,2693215.085
一品堂大里中醫診所,臺中市,大里區,永大街20號1、2樓,04-24181159,217464.9436,2666720.338
一品堂中醫診所,臺中市,沙鹿區,四平街66號,04 26655567,205377.59,2681065.17
一品堂中醫診所,新北市,蘆洲區,中正路118號,02 2812373,297355.4294,2775252.562
一品堂中醫診所,桃園市,平鎮區,延平路二段91號1樓2樓,4952000,271449.7,2760180.2
一品堂中醫診所,新竹市,北區,中華路三段十六號,03-5262668,246251.63,2743320.59
一品堂中醫診所,南投縣,南投市,復興路78號1樓,049-2228696,218251,2644388
一品堂中醫診所,苗栗縣,苑裡鎮,苑南里信義路56號1樓,37869518,215009.28,2704060.666
一品堂中醫診所,彰化縣,和美鎮,和西里永樂路63號,04-7557899,198669.95,2667837.72
一品堂中醫診所,雲林縣,斗六市,忠孝里永安路46號,05-5378567,203889.3,2622958.13
一品堂北屯中醫診所,臺中市,北屯區,昌平路二段33號1、2樓,04-24228111,217955.774,2676162.862
一品堂竹北中醫診所,新竹縣,竹北市,中正東路143號1樓、145號1-2樓,03-5511695,251656.689,2747500.016
一品堂虎尾中醫診所,雲林縣,虎尾鎮,信義路38號及40號之1樓,05-6338336,192668.25,2623128.77
一品堂南屯中醫診所,臺中市,南屯區,永春東一路700號1-2樓,04-23821678,213571.4599,2669770.507
一品堂鹿港中醫診所,彰化縣,鹿港鎮,永安里中正路四二二號,04-7745599,192902.6,2661772.79
一品堂豐原中醫診所,臺中市,豐原區,圓環北路二段161、163號1樓、2樓、3樓,04-25232568,221936.8751,2683935.036
一春堂中醫診所,臺北市,士林區,德行東路187-1號,28321239,303603.651,2777947.347
一?堂中醫診所,高雄市,苓雅區,光華一路33號1樓,07-3386919,179810.637,2502269.864
一家人診所,桃園市,八德區,豐德二路2號1樓,(03)3682212,278888.79,2757542.04
一家牙醫診所,臺北市,大安區,建國南路2段151巷44號(1樓),(02)27030528,304459.5547,2769059.183
一峰牙醫診所,臺北市,內湖區,麗山街348巷11號,227992316,307838.5002,2774985.202
一草中醫診所,新北市,新莊區,大觀街46-1號1樓,29966963,295796.426,2769812.202
一貫堂中醫診所,臺中市,北屯區,豐樂路11之1號1樓、2樓,04-24222663,218024.9648,2676506.122
一善中醫診所,臺中市,南屯區,大墩路700號1樓、2樓,04-23109668,214430.3937,2671950.48
一森診所,臺北市,士林區,中山北路5段476號1樓,02-28836897,303307.6985,2776129.401
一番中醫診所,桃園市,桃園區,復興路55號1樓,,281879.7,2764805.06
一新堂中醫診所,宜蘭縣,宜蘭市,公園路453及453之1號1、2樓,03-9365800,326346.99,2737282.41
一新診所,屏東縣,麟洛鄉,麟蹄村中山路256-2號1樓,08-7212237,201145.48,2505886.3
一聖堂中醫診所,臺北市,大同區,民生西路一五四號,02 25566096,302310.9149,2772220.096
一誠堂中醫診所,臺中市,大雅區,民生路一段75號,04-25683701,214207.226,2680148.402
一誠診所,高雄市,苓雅區,建國一路115之5號,０７-7511156,181407.47,2503633.89
一嘯牙醫診所,高雄市,鼓山區,九如四路1121號,07 5837050,175892.995,2506707.02
一德牙醫診所,臺南市,南區,大林里大同路2段474號,06-2152827,169455.41,2541523.85
一德牙醫診所,宜蘭縣,宜蘭市,黎明三路一段42號,03-9381100,327693.254,2738553.633
一德身心診所,桃園市,桃園區,同德十一街138號1樓,03-3583115,279793.02,2768051.89
一盧診所,新北市,三峽區,民生街79號1樓,26743217,287862.4568,2758724.978
一嚴堂中醫診所,臺北市,大安區,羅斯福路3段283巷7弄8號,23688816,303618.5749,2767945.18
一耀診所,臺北市,北投區,文林北路186號1、2樓,,302011.315,2777737.74
一麟中醫診所,高雄市,旗山區,延平一路145號,07_6627510   6627516,197034.867,2533020.603
乙仁中醫診所,臺中市,潭子區,頭張路一段四十三號,04-25356385,219605.6619,2676572.777
乙仁中醫診所,桃園市,楊梅區,萬大路6號,(03)4316230,267878.87,2756113.37
乙元中醫診所,高雄市,鳳山區,建國路二段59-1號1樓,07-7193216,184349.21,2504050.37
乙泉中醫診所,臺中市,北區,太原七街3號1樓,04-22915370,216615.0297,2673447.816
乙皓中醫診所,臺中市,豐原區,圓環北路一段184號1樓,04-25283168,221276.2,2683455.97
乙馨診所,桃園市,中壢區,林森路172號1樓至2樓及174號1樓至2樓,03-4683535,272894.73,2759604.1
丁大元診所,臺北市,內湖區,東湖路119巷49弄4號1樓,226331010,312258.7847,2773662.459
丁牙醫診所,臺中市,北屯區,東山路一段143-2號1樓,04 24368192,219921.1792,2673848.835
丁牙醫診所,雲林縣,虎尾鎮,仁愛路73號,55328256,192300.98,2622919.9
丁江龍診所,臺南市,新化區,護國里中山路150號,06-5903419,179298.48,2548558.26
丁良文內科診所,新北市,蘆洲區,長安街30號及32號1樓,82822809,296790.007,2774651.239
丁郁仁傳統中醫診所,高雄市,鳳山區,青年路二段269號1樓,07-7803333,183257.54,2504440.7
丁效曾整形外科診所,嘉義市,東區,中山路229號、231號1、2樓,2222188,194008.283,2597628.541
丁婦產科診所,新北市,三重區,自強路一段246號1~4樓,02-2985-8001,299714.8107,2773324.782
丁婦產科診所,新北市,三重區,自強路一段246號1~4樓,02-2985-8001,299714.8107,2773324.782
丁眼科診所,新竹市,北區,福林里武陵路22號1樓,03-5439913,246270.99,2745389.39
丁維漢婦產科診所,臺南市,永康區,永康里中山北路99號,06-2020078,174064.75,2547456.05
丁慶雄耳鼻喉科診所,臺南市,東區,後甲里裕農路613號1樓,2371000,171594.2,2543239.96
丁鴻志婦產科診所,臺中市,西區,臺灣大道2段181號3樓,04 3296291,216281.879,2671873.571
七佳診所,屏東縣,春日鄉,自強一路1號,08. 8792093,211583.34,2480985.23
七股微笑牙醫診所,臺南市,七股區,大埕里大埕365號1樓,06-7872121/0920682252,161956.06,2560204.83
七采牙醫診所,新北市,汐止區,大同路二段380、382號1樓,86910777,316385.8204,2773367.382
七巷牙醫診所,臺中市,龍井區,新興路7巷5號1樓,04-26337733,208507.14,2675105.39
七堵杞子中醫診所,基隆市,七堵區,南興路112號1樓,02-24561196,321807.53,2776649.94
七期時尚診所,臺中市,西屯區,惠來路一段175號1、2、3樓,04-22515019,213267.5407,2672630.195
七賢光復診所,高雄市,鳳山區,光復路121號1-2樓,77905490,184107.38,2503337.6
七賢高美泌尿科診所,高雄市,新興區,七賢二路71號,2869096,178002.121,2503949.926
九大九如診所,高雄市,三民區,九如二路331號1樓.2樓,,178512.06,2504691.94
九大五甲診所,高雄市,鳳山區,五甲二路348號1-2樓,,181891.54,2500087.04
九大牙醫診所,臺北市,中正區,忠孝東路二段96號1Ｆ,223935167,303501.6403,2770626.664
九大自由診所,高雄市,左營區,自由三路410號1樓,07-3591963,179380.97,2508527.04
九大聯合診所,高雄市,楠梓區,建楠路215號1、2樓,07 3531510,180649.95,2514199.68
九之牙醫診所,臺北市,中山區,龍江路202號,02-25019665,304535.9812,2772254.817
九如中醫診所,高雄市,三民區,九如二路456號1樓及458號1樓,07 3220322,177969.328,2504778.949
九如聯合診所,新北市,三重區,仁愛街753號(1樓),02 2857-5600,298547.5132,2774759.422
九曲堂牙醫診所,高雄市,大樹區,久堂里建村街27號,07 6521234,190393.47,2506359.79
九和堂中醫診所,新北市,新莊區,雙鳳路41號1樓,29962088,291990.2643,2768851.103
九宜診所,新北市,新店區,北宜路一段五十二號一樓,02-89147665,304352.0612,2761053.102
九品中醫診所,臺中市,西屯區,青海路一段一五四號一、二樓,423159191,214783.2655,2673379.887
九翌復健科診所,臺南市,北區,和順里公園南路358號1樓,06-2225555,168257.72,2544849.33
九登牙醫診所,桃園市,桃園區,永安路217號1樓,03-3318393,280667.42,2765612.89
九歌牙醫診所,新竹市,北區,武陵里東大路2段188號,03-5341616,246475.94,2745469.83
二利診所,臺中市,西屯區,朝馬路八十一號一樓,04-22511115,213106.8107,2673704.605
二林大謙牙醫診所,彰化縣,二林鎮,東和里中正路22號1樓、2樓,04-8950000,185750.856,2644024.954
二林牙醫診所,彰化縣,二林鎮,斗苑路五段226號,04-8969922,185699.811,2644232.874
二林四季皮膚科診所,彰化縣,二林鎮,儒林路二段310號,04-8958678,185760.593,2643786.54
二林綜祐診所,彰化縣,二林鎮,東和里7鄰中正路6號,04-8952991,185790.388,2644030.918
二崙台全診所,雲林縣,二崙鄉,崙西村中山路119號,05-5981111,190132.5,2629663.95
人一中正復健科診所,高雄市,苓雅區,中正一路284號1樓,07-7226531,180932.533,2503434.888
人一文山復健科診所,高雄市,三民區,文濱路15-1號1-4樓,7808000,182996.27,2504420.04
人一博愛復健科診所,高雄市,左營區,孟子路426號1樓,3452463,178862.294,2508572.567
人人牙醫診所,苗栗縣,苗栗市,中正路694號1樓,37324214,231654.399,2716508.472
人人牙醫診所,彰化縣,彰化市,城中街27號,04 7248712,203373.7,2663815.93
人人診所,臺中市,太平區,中興里中興路28號,04-22783830,221292.51,2669298.31
人人診所,臺南市,佳里區,鎮山里自由街110號,06-7228895,165838.24,2561790.8
人人診所,臺中市,西區,林森路二三九號一樓,04 22026151,216246.5813,2670549.336
人人診所,新北市,土城區,中央路二段20之2號1、2樓,2261-4108,294698.7598,2763676.942
人人診所,雲林縣,四湖鄉,中正路435號,7877880,170991.28,2614751.25
人之初牙醫診所,高雄市,鼓山區,明誠四路2號2樓,5520105,177226.393,2506998.02
人仁中醫診所,臺南市,中西區,法華里大同路1段240號1樓,06-2156173,169155.1,2542497.45
人仁中醫診所,屏東縣,潮州鎮,文化路136號,8.7862987,203059.06,2495312.7
人仁牙醫診所,臺北市,士林區,華齡街69號,28821323,302382.4177,2775259.809
人友牙醫診所,臺南市,東區,德光里崇明路199號,2673818,170002.28,2542075.95
人文中醫診所,新竹縣,竹北市,勝利三街71號1樓,03-6577993,252801.95,2746186.71
人文中醫診所,臺中市,南屯區,惠中路3段13號1樓,04-2251-5262,213517.6598,2671726.501
人文牙醫診所,高雄市,左營區,安吉街229號1-2樓,07-5582828,178868.218,2507028.005
人文新境牙醫診所,嘉義市,東區,大雅路一段606號1、2樓,05-2763456,197975.028,2597702.551
人本自然牙醫診所,高雄市,前鎮區,民權二路98號1、2樓,07-5366523,179173.475,2500886.831
人本美學整形外科診所,新竹縣,竹北市,縣政九路207號,03-5583771,251202.925,2747130.46
人本家庭牙醫診所,臺北市,文山區,木新路三段350號,86610274,306019.3846,2763711.599
人生中醫診所,臺北市,大同區,重慶北路2段88號1樓,25566634及0800568999,301808.8491,2772164.128
人生中醫診所,臺中市,東區,復興路四段214號1樓,04-22202113,218314.1848,2670172.218
人生眼科診所,高雄市,苓雅區,和平一路143之6號,07-7226902,180151.567,2502726.874
人禾小兒科診所,新北市,汐止區,仁愛路140號1樓,86463037,316947.267,2773057.392
人禾中醫診所,嘉義市,東區,中山路48號1樓,05-2771772,194910.967,2597814.501
人安內科診所,南投縣,埔里鎮,中正路402號,049-2992070,246727.51,2651132.75
人安診所,新北市,蘆洲區,民權路133號1樓,22881661,297589.7983,2775853.899
人和堂中醫診所,彰化縣,北斗鎮,後溪巷9號1樓,04-8889138,201973.29,2641704.64
人和診所,南投縣,信義鄉,人和村民生巷68號1樓,049-2777369,239499.71,2630268.98
人晟診所,屏東縣,潮州鎮,中山路179號,08-7801388,202414.91,2494498.73
人愛牙醫診所,金門縣,金城鎮,中興路199號,082-324600,-21823.5181,2705769.967
人愛診所,臺中市,潭子區,潭陽里潭興路二段394號,04 25368299,220451.4941,2678391.423
人義診所,嘉義市,西區,南京路502號-2,05-2368083,192388.745,2596050.78
人義診所,嘉義市,西區,南京路502號-2,05-2368083,192388.745,2596050.78
人德中醫診所,臺北市,北投區,中央南路一段179號,28920649,300540.357,2780165.784
人醫診所,苗栗縣,頭份市,合興里19鄰建國路2段178號1樓,670478,240126.554,2732142.672
八千代診所,臺北市,大安區,大安路1段101巷10號3樓,02-27712211,305201.7945,2770332.901
八斗子診所,基隆市,中正區,北寧路378之1號(2F),(02)24698789,330240.35,2781458.783
八通關中醫診所,臺北市,中山區,南京東路2段21巷13號1樓,2100-1060,303360.3424,2771731.958
八號牙醫診所,臺北市,大安區,通安街19巷1號,02-27081227,305858.5104,2769441.179
八德仁德風澤中醫診所,桃園市,八德區,仁德二路11號1樓,03-2717017,278969.7,2758715.3
八德牙醫診所,臺北市,松山區,八德路四段636號(實際營業地址:1、2層),27664466,307966.3484,2771420.018
八德彤顏診所,桃園市,八德區,介壽路一段780號1樓、2樓,03-3639739,280287.05,2761722.83
八德身心診所,桃園市,八德區,介壽路一段935號1樓,03-3775953,280258.93,2761346.56
八德金鶯診所,桃園市,八德區,興豐路493號1樓,03-3655225,279414.06,2758088.51
八德風澤中醫診所,桃園市,八德區,福國北街100號1樓,03-3668732,279834.15,2761522.17
八德榮譽國民之家醫務室,桃園市,八德區,榮興路1100號,03 3651285,280782.78,2758998.24
八德慶鴻診所,桃園市,八德區,興豐路326號1樓,03-3638373,278986.82,2757969.27
八寶堂中醫診所,高雄市,左營區,孟子路166號1樓,07-3455885,179397.289,2508321.41
刁仁杰中醫診所,新北市,中和區,莒光路155號1樓,22227562,297724.3345,2765958.787
力仁診所,高雄市,三民區,正忠路198號,07 3897668,181198.27,2505072.932
力仁診所,屏東縣,琉球鄉,本福村中山路75-375-5號,8.8614722,186079.84,2472397.23
力禾耳鼻喉科診所,新北市,中和區,連城路15號（1樓）,282457641,300369.9006,2766105.834
力安妥診所,臺北市,中正區,衡陽路30號(2樓),2388-2833,301739.8367,2770550.509
力安醫學診所,臺北市,中山區,樂群二路267號4樓,85022777,306522.4811,2774769.169
力行牙醫診所,臺北市,文山區,景興路30號,229348046,304972.9384,2765597.687
力行牙醫診所,高雄市,三民區,力行路71號1樓,07 3115697,176942.54,2504451.94
力奇牙醫診所,臺北市,內湖區,內湖路一段737巷26號,226582776,308367.9895,2774743.655
力倫診所,臺中市,大甲區,蔣公路246號1樓,04-26805889,211383.962,2693534.46
力康骨科診所,新北市,中和區,連城路10號1樓、中山路二段211號2樓及2樓之1,282455279,300365.6566,2766130.589
力康復健科診所,臺北市,內湖區,內湖路1段358號2樓,02-26580866,307565.4508,2774913.852
力新診所,新北市,新莊區,中原東路62號1樓,85221606,296767.2466,2771909.375
力慈科學中醫診所,臺北市,中山區,長春路105號,02-25185775,303423.3768,2771971.608
十二佃診所,臺南市,安南區,佃東里海佃路四段388巷107弄22號1樓,06-2465658,165542.31,2551878.34
十大牙醫診所,桃園市,八德區,義勇街104號1樓,03 3670081,280654.45,2761777.2
十仁診所,彰化縣,彰化市,辭修路82號,04─7281067,203080.25,2664788.32
十分美學診所,臺南市,安平區,平通里永華路二段800號1樓,06-2980250,164865.02,2543589
十方中醫診所,臺北市,北投區,中和街228號,02-28968883,300583.3123,2781289.653
十方中醫診所,高雄市,三民區,大昌二路472號,07 3929199,181278.149,2505774.425
十方中醫診所,南投縣,埔里鎮,西安路一段333號1樓,049-2996279,246893.23,2652036.39
十方中醫診所,嘉義縣,朴子市,海通路41之12號,05-3706550,172534.95,2595831.87
十方牙醫診所,新北市,中和區,員山路197號,02 2227345,298567.9226,2765568.368
十方牙醫診所,金門縣,烈嶼鄉,西路35-3號,082-363728,-29374.9962,2705470.987
十方牙醫診所,屏東縣,新園鄉,南興路231號,8.8326338,194291.48,2487784.3
十甲牙醫診所,臺中市,東區,十甲路四0三號一樓,04-22133598,220309.4264,2671063.609
十全十美牙醫診所,臺中市,北區,健行路403號1樓,04-22358218,217682.8675,2672660.405
十全內科小兒科診所,桃園市,八德區,桃鶯路50號1樓,03 3624139,283011.71,2762595.86
十全牙醫診所,臺北市,大安區,信義路三段134巷48號1樓,227097244,304418.9626,2769253.265
十全牙醫診所,桃園市,八德區,介壽路二段31號1樓,03 3621549,280217.05,2761047.52
十全外婦產科診所,新北市,中和區,景新街413號,02 9434687,301764.9757,2764713.629
十全診所,臺南市,中西區,福安里永福路2段3號,06 2283106,168008.22,2543421.46
十信診所,新竹縣,關西鎮,明德路55號1樓,03 5875290,267974.898,2742859.667
十信診所,新竹縣,關西鎮,明德路55號1樓,03 5875290,267974.898,2742859.667
十美診所,嘉義縣,朴子市,平和路3號,05-3706448,173150.4,2595984.91
又一春中醫診所,新北市,新莊區,新泰路288號1樓,22791988,294978.6324,2770357.727
又安心診所,高雄市,前鎮區,英德街103號1樓,7215681,180404.79,2501686.29
又怡牙醫診所,新北市,樹林區,中山路一段93號,02 6815810,292739.8941,2764865.441
又青牙醫診所,桃園市,中壢區,高鐵站前西路2段59號1樓及2樓,03-2877028,272155.77,2766642.8
又喜明眼科診所,臺北市,中山區,北安路572號(實際營業樓層1樓、2樓),0930-406518,305343.3676,2774844.727
又新診所,新北市,新店區,建國路71號,286650062,304562.6418,2763222.483
三上牙醫診所,臺中市,北區,文昌東二街6號,04 22931283,217111.77,2674192.275
三上牙醫診所,臺北市,大安區,羅斯福路2段105號2樓,223696699,302934.1729,2768607.52
三上耳鼻喉科診所,臺中市,大里區,成功路419、421號,04-24953856,219789.67,2664922.06
三大中醫診所,新北市,中和區,景平路452號1樓,02 22455550,301089.5202,2765162.201
三大牙醫診所,臺中市,大甲區,中山路一段一一四九號,04 26861010,212383.1706,2694176.107
三大診所,金門縣,金湖鎮,復興西路2號3樓,082-333995,-12224.9032,2706475.044
三才中醫診所,彰化縣,員林市,中正里林森路265號1樓,04-8338361,206976.62,2650610.83
三井牙醫診所,新北市,林口區,文化三路一段189號1、2樓,02-26002076,286534.189,2773580.22
三仁診所,臺中市,豐原區,中山路三七九號,04 25221850,221029.582,2682724.659
三代生物能牙醫診所,臺北市,中山區,長春路142之1號(實際營業:一層、二層),25318280,303609.3415,2771946.226
三民牙醫診所,臺中市,大甲區,三民路39號,04 26860824,211516,2693399
三民牙醫診所,臺北市,中正區,汀州路二段30號,223687108,302194.5805,2768685.022
三民牙醫診所,桃園市,桃園區,民光路87號,03 3379333,280892.05,2766281.64
三民牙醫診所,新北市,中和區,景新街399巷4號、6號1樓,229431056,301772.384,2764745.114
三民牙醫診所,新竹市,東區,中央路288號,03-5310486,247721.19,2744717.85
三民承德中醫診所,高雄市,三民區,大豐二路288號1樓,07-3873574,181439.318,2505170.674
三民家庭醫學科診所,新北市,三重區,三民街83號,02 9840686,299000.0003,2772851.157
三民張牙醫診所,臺中市,中區,臺灣大道一段546號1樓,04- 22183266,217164.8283,2671117.073
三民眼科診所,彰化縣,彰化市,三民路三三號,04-7235040,203197.64,2664274.71
三玉品恆復健科診所,臺北市,士林區,天母東路53號,28760666,303760.9341,2778978.412
三禾牙醫診所,屏東縣,瑪家鄉,三和村14鄰美園46-3號,937319842,208841.7,2510752.75
三禾復健科診所,臺中市,太平區,育賢路221號1、2、3、4樓,04-23931599,221391.8,2672593.85
三禾診所,新北市,三峽區,中華路13之5號4樓,,287733.6016,2758295.937
三合中醫診所,臺北市,北投區,三合街二段446號,28983027,300647.0237,2779904.565
三合牙醫診所,臺中市,西屯區,重慶路241號,04-23142647,215312.8898,2673730.131
三合牙醫診所.,臺中市,烏日區,中山路一段423號1樓、2樓(部分),04 23362054,213193.881,2666974.478
三合堂中醫診所,新北市,土城區,青雲路275號,(02)2270-6078,296355.376,2763673.319
三合貴中醫診所,彰化縣,員林市,南平里新義街326號1、2樓,04-8393326,206010.16,2651044.65
三好診所,高雄市,鼓山區,美術東六街246號1樓,07-5509118,177207.452,2506987.721
三安診所,新北市,土城區,裕民路37號1樓,22668144,295263.0047,2764563.256
三里居中醫診所,高雄市,三民區,博愛一路223號1-2樓,,178358.58,2505416.01
三和中醫診所,新北市,三重區,三和路四段402號,(02)2287-0080,298543.4338,2774678.679
三和牙醫診所,臺北市,中山區,四平街16號,225815658,303548.1906,2771812.892
三和牙醫診所,臺中市,西區,五權一街65之1號,04 3729646,215570.9735,2670474.075
三和牙醫診所,屏東縣,屏東市,公園路19-3號,08 7320467,197876.22,2508224.83
三和診所,高雄市,梓官區,梓信里民權街149號,07 6176316,174824.14,2518351.31
三和診所,臺中市,西屯區,甘肅路1段78號1樓、80號1樓,04-23157982,215378.7236,2673445.297
三和診所,新北市,三重區,三和路二段158號1樓,02 9725508,300370.2495,2773456.64
三和診所,彰化縣,二林鎮,二溪路六段548號,04 8685775,190706.13,2650176.87
三和診所,彰化縣,二林鎮,二溪路六段548號,04 8685775,190706.13,2650176.87
三奇皮膚科診所,臺南市,永康區,大橋里中華路608號,06-2014853,171136.32,2546037.5
三明中醫診所,臺中市,東勢區,三民街71號1樓,933518502,232791.449,2683096.721
三易中醫診所,新北市,淡水區,學府路51巷1弄21號1樓,02-26281786,295099.9196,2784551.192
三林牙醫診所,臺中市,西屯區,大墩十八街70號1樓,04-23280303,214441.8667,2672440.74
三芝彭小兒科診所,新北市,三芝區,埔頭里中山路一段59號1樓,02-26369622,300441.6383,2794362.209
三信牙醫診所,臺中市,西屯區,漢口路2段306號1樓,04-23125522,215925.0019,2673489.936
三星堂中醫診所,宜蘭縣,羅東鎮,興東路176號,03-9563590,327888.8,2730698.27
三春中醫診所,臺中市,東區,立德街8號1樓,04-22296340,218084.9789,2670039.56
三軍總醫院松山分院附設民眾診療服務處,臺北市,松山區,健康路131號,227462151,306270.665,2771868.07
三軍總醫院基隆分院附設民眾診療服務處,基隆市,仁愛區,孝二路39號2樓,02 4631979,324557.957,2780256.72
三重又一春中醫診所,新北市,三重區,正義北路93號1樓,02-22791995,300152.143,2773099.705
三重大學眼科診所,新北市,三重區,重新路三段28號、30號1F、2F,02-2972-9873,299912.9838,2772660.154
三重中興醫院,新北市,三重區,中興北街二十一號,29959680,297390.0053,2771014.111
三重天慕堂中醫診所,新北市,三重區,中正南路165號1樓及夾層,02-29789090,299807.9414,2772075.329
三重台新診所,新北市,三重區,仁愛街741號,02 8570759,298579.7924,2774781.25
三重正義北好評診所,新北市,三重區,正義北路203號1樓,02-29882608,300061.8906,2773440.743
三重光澤診所,新北市,三重區,正義北路122號1樓及2樓,,300121.193,2773124.404
三重同仁堂中醫診所,新北市,三重區,忠孝路二段99號1樓、2樓及95號、97號2樓及車路頭街1號1樓,(02)2985-7688,298843.2723,2773624.273
三重宥聖中醫診所,新北市,三重區,重新路二段1之6號1樓、2樓、3樓及1之7號2樓、3樓,02-29851789,300389.3155,2772842.53
三重建成中醫診所,新北市,三重區,三和路二段153號1樓,(02)2976-4289,300261.2702,2773577.015
三重埔牙醫診所,新北市,三重區,福德北路33號,02 29754808,300685.924,2773042.272
三重埔展新牙醫診所,新北市,三重區,中正北路356號,02 9825339,298169.654,2773548.312
三重唯美醫美診所,新北市,三重區,重新路二段21號5樓,(02)8983-2811,300247.5383,2772782.576
三重祥安診所,新北市,三重區,三和路四段374號1、2樓,2280-8558,298688.9226,2774586.452
三重博愛診所,新北市,三重區,重新路三段二00號,229779981,299461.3301,2772371.383
三重菩提中醫診所,新北市,三重區,重陽路四段10號1樓,02-89857977,299502.6171,2773509.542
三重華泰診所,新北市,三重區,五華街176號1樓,(02)2857-7688,299316.701,2775411.944
三重新好診所,新北市,三重區,仁義街147號、149號1樓,(02)2971-1787,300158.8236,2774835.628
