綠化單元代碼,設置年度,縣市,綠化單元名稱,基地地址,緯度,經度,緯度,經度,TWD97X,TWD97Y,基地面積(公頃),基地長度(公里),基地長度換算面積(公頃),補助單位,基地類型,基地類型(校正),維運單位類型,列管狀態,管理單位,地址,聯絡人,聯絡電話,認養單位,認養期限,迄今認養年度,喬木總數量(株),本年度之建議樹種增植數量(株),年度,獎項名稱,,
apr-11,105,基隆市,基隆市長興國小(五),基隆市七堵區東新街3號,25.0918783,121.7134296,25.0919,121.7134,321958.14,2776146.62,0.018,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,長興國小,基隆市七堵區東新街3號,總務主任張主任,"02-24552096#31
0978-508-682
fax:24554791
janewang5@gmail.com
AB4829@mail.kl.edu.tw
amais1031@gmail.com(謝)",-,-,-,-,-,-,-,,
apr-12,100,基隆市,頂石閣砲台,基隆市中正區正榮街88號,25.14630916,121.7632261,25.1463,121.7632,326947.40,2782199.95,0.305,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,正濱國中,基隆市中正區正榮街88號,總務主任周嘉郁,"AA4916@gm.kl.edu.tw（王主任）
02-24631490＃31；fax:24623587
0922-869-916；klsch30@yahoo.com.tw（施）",-,-,-,-,-,-,-,,
apr-13,102,基隆市,暖暖火車站,基隆市暖暖區暖暖街51號,25.10231384,121.7403232,25.1023,121.7403,324665.23,2777313.22,0.155,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,暖暖區公所,基隆市暖暖區東勢街2號,楊小姐,02-2457-9121#304,暖暖里環保志工隊,115年12月24日,-,-,-,113,感謝狀,,
apr-14,102,基隆市,堵南國小「創意空間」,基隆市七堵區大德路120號,25.08457453,121.6920321,25.0846,121.6920,319803.67,2775326.78,0.210,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,堵南國小,基隆市七堵區大德路120號,總務主任吳柏煒,"02-2451-1339#30
0937-760-607",吳柏煒,120年12月31日,-,-,-,-,-,,
apr-15,103,基隆市,瑪陵國小,基隆市七堵區大成街1號,25.11017404,121.6888484,25.1102,121.6888,319466.40,2778160.81,0.070,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,企業認養,未解列,瑪陵國小,基隆市七堵區大成街1號,總務主任：陳士文,"02-2456-5663#32
0919-393-60002-2456-5663#32
0919-393-600",統一超商福委會-愛自然社,114年12月31日,-,-,-,113,績優獎,,
apr-16,103,基隆市,義一路日新段綠美化工程,基隆市中正區信四路18號旁,25.13361988,121.7462822,25.1336,121.7463,325251.23,2780783.64,0.012,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,中正區公所,基隆市中正區中正路236號5樓,林子鈺小姐,02-2463-3341#307,-,-,-,-,-,-,-,,
apr-17,105,基隆市,仙洞山海景公園生態綠化,基隆市中山區中山三路103巷184號附近,25.14407272,121.7464186,25.1441,121.7464,325254.87,2781946.78,0.107,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,中山區公所,基隆市中山區文化路168號,承辦人唐小姐#309里幹事,"02-24232181 #322
meihui1813@gmail.com",-,-,-,-,-,-,-,,
apr-18,105,基隆市,六合里低碳社區生態綠化,基隆市安樂區樂利三街附近,25.12734463,121.7151395,25.1273,121.7151,322108.85,2780068.75,0.030,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,安樂區公所,基隆市安樂區安樂路二段164號,董小姐,"
02-2431-2118#318
行政課#601",潘德發,115年12月25日,-,-,-,-,-,,
apr-19,106,基隆市,海大附中(一),基隆市中正區祥豐街246號,25.14765073,121.7716868,25.1477,121.7717,327803.53,2782359.91,0.180,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,海大附中,基隆市中正區祥豐街246號,"衛生組長楊能顯
",02-24633655 #400,財團法人省立基隆海事文教基金會,114年10月11日,-,90,90,108、109、110、113,特優獎、佳作、佳作、績優獎,,
apr-20,107,基隆市,海大附中(二),基隆市中正區祥豐街246號,25.14765073,121.7716868,25.1477,121.7717,327803.53,2782359.91,0.056,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,海大附中,基隆市中正區祥豐街246號,"衛生組長楊能顯
",02-24633655 #400,財團法人省立基隆海事文教基金會,114年10月11日,-,90,90,108、109、110、113,特優獎、佳作、佳作、績優獎,,
apr-21,108,基隆市,海大附中(三),基隆市中正區祥豐街246號,25.14765073,121.7716868,25.1477,121.7717,327803.53,2782359.91,0.138,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,海大附中,基隆市中正區祥豐街246號,"衛生組長楊能顯
",02-24633655 #400,財團法人省立基隆海事文教基金會,114年10月11日,-,90,90,108、109、110、113,特優獎、佳作、佳作、績優獎,,
apr-22,110,基隆市,海大附中(四),基隆市中正區祥豐街246號,25.14765073,121.7716868,25.1477,121.7717,327803.53,2782359.91,0.059,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,海大附中,基隆市中正區祥豐街246號,"衛生組長楊能顯
",02-24633655 #400,財團法人省立基隆海事文教基金會,114年10月11日,-,90,90,108、109、110、113,特優獎、佳作、佳作、績優獎,,
apr-23,106,基隆市,隆聖國小(一),基隆市安樂區武隆街107號,25.1564967,121.6935055,25.1565,121.6935,319914.05,2783291.84,0.017,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,隆聖國小,基隆市安樂區武隆街107號,郭組長,"02-24311480 #30
",-,-,-,-,-,-,-,,
apr-24,112,基隆市,隆聖國小(二),基隆市安樂區武隆街107號,25.1564967,121.6935055,25.1565,121.6935,319914.05,2783291.84,0.020,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,隆聖國小,基隆市安樂區武隆街107號,郭組長,"02-24311480 #30
",-,-,-,-,-,-,-,,
apr-25,107,基隆市,基隆女中( 一),基隆市信義區東信路324號,25.12908885,121.7594621,25.1291,121.7595,326585.07,2780292.60,0.150,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,基隆女中,基隆市信義區東信路324號,總務主任沈燈賢,"
02-2427-8274#800
0921-106-757",總務主任沈燈賢,114年12月31日,-,-,-,-,-,,
apr-26,108,基隆市,基隆女中( 二),基隆市信義區東信路324號,25.12908885,121.7594621,25.1291,121.7595,326585.07,2780292.60,0.270,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,基隆女中,基隆市信義區東信路324號,總務主任沈燈賢,"
02-2427-8274#800
0921-106-757",總務主任沈燈賢,114年12月31日,-,-,-,-,-,,
apr-27,109,基隆市,基隆女中(三),基隆市信義區東信路324號,25.12908885,121.7594621,25.1291,121.7595,326585.07,2780292.60,0.203,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,基隆女中,基隆市信義區東信路324號,總務主任沈燈賢,"
02-2427-8274#800
0921-106-757",總務主任沈燈賢,114年12月31日,-,-,-,-,-,,
apr-28,107,基隆市,長樂國小(一),基隆市安樂區樂利三街30巷123號,25.12587833,121.7114057,25.1259,121.7114,321736.55,2779911.70,0.132,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,長樂國小,基隆市安樂區樂利三街30巷123號,總務主任黃組長,"
02-2432-2765#31
jason661107@gmail.com",基隆市安樂區五福里社區發展協會,116年12月31日,-,-,-,105、107、108,優勝獎、特優獎、優等獎,,
apr-29,108,基隆市,長樂國小(二),基隆市安樂區樂利三街30巷123號,25.12587833,121.7114057,25.1259,121.7114,321736.55,2779911.70,0.084,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,長樂國小,基隆市安樂區樂利三街30巷123號,總務主任黃組長,"
02-2432-2765#31
jason661107@gmail.com",基隆市安樂區五福里社區發展協會,116年12月31日,-,-,-,105、107、108,優勝獎、特優獎、優等獎,,
apr-30,109,基隆市,中和國小,基隆市中山區中和路64號,25.14664093,121.7202086,25.1466,121.7202,322611.72,2782209.34,0.005,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,企業認養,未解列,中和國小,基隆市中山區中和路64號,總務主任簡竹君,02-2437-1751#30,宏貿建設股份有限公司,115年02月19日,-,-,-,-,-,,
apr-31,109,基隆市,二信高中,基隆市中正區立德路243號,25.14393263,121.7714179,25.1439,121.7714,327775.69,2781938.81,0.038,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,志工認養,未解列,二信高中,基隆市中正區立德路243號,總務主任蔡得勝,"
02-2462-3131#505",基隆市心蘭愛鄉生活發展協會,115年3月31日,-,10,10,-,-,,
apr-32,109,基隆市,武崙國小,基隆市安樂區武崙街203號,25.13842399,121.7064287,25.1384,121.7064,321225.09,2781293.67,0.048,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,武崙國小,基隆市安樂區武崙街203號,總務主任巫主任,02-24310018#31,-,-,-,-,-,-,-,,
apr-33,110,基隆市,基隆高中,基隆市暖暖區源遠路20號,25.1077149,121.7328717,25.1077,121.7329,323915.60,2777907.30,0.142,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,基隆高中,基隆市暖暖區源遠路20號,呂老師,"02-2458-2052#240
#168",總務主任 王駿智,114年11月3日,-,-,-,-,-,,
apr-34,112,基隆市,中正國中,基隆市中正區中船路36巷59號,25.135439,121.753136,25.1354,121.7531,325935.80,2780986.83,0.102,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,中正國中,基隆市中正區中船路36巷59號,總務主任-陳主任,"02-2428-2191#30
02-2428-2191#32
",-,-,-,-,-,-,-,,
apr-35,85,新北市,八里大崁環保公園,新北市八里區觀海大道28號旁,25.160237,121.429668,25.1602,121.4297,293317.77,2783590.86,1.989,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,八里區公所,新北市八里區八里大道18號,陳彥宇/臨時人員,2610-2621#259,-,-,-,-,-,-,-,,
apr-36,89,新北市,中和公園綠化,新北市中和區中安街218號對面,24.999014,121.512109,24.9990,121.5121,301692.24,2765764.43,0.315,-,-,環境部,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,中和區公所,新北市中和區景平路634-2號,王振恩/課員,2248-2688#412,-,-,-,-,-,-,-,,
apr-37,89,新北市,新莊西盛瓊林環保公園,新北市新莊區重新堤外道7號,25.018892,121.440252,25.0189,121.4403,294437.36,2767943.18,47.000,-,-,環保局,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,新北市政府高灘地工程管理處,新北市板橋區環河西路五段502號,蔡麗香/約僱人員,8969-9596#520,-,-,-,-,-,-,-,,
apr-38,89,新北市,道路綠化(臺15線0K~6.7K),新北市八里區龍米路一段442~468號前中央分隔島,25.134288,121.450662,25.1343,121.4507,295444.38,2780728.93,0.600,6.7,0.670,環境部,道路綠帶,道路綠化,自行維運,未解列,新北市政府綠美化環境景觀處,新北市板橋區中山路1段143號5樓,陳彥宇/臨時人員,2610-2621#259,-,-,-,-,-,-,-,,
apr-39,90,新北市,三重環保公園,新莊提外道路旁之三重環保公園,25.043722,121.474059,25.0437,121.4741,297839.06,2770701.65,13.000,-,-,環保局,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,新北市政府高灘地工程管理處,新北市板橋區環河西路五段502號,蔡麗香/約僱人員,8969-9596#520,-,-,-,-,-,-,-,,
apr-40,93,新北市,桐花公園,永寧捷運站2號承天路上去,24.94609,121.451421,24.9461,121.4514,295584.48,2759883.26,1.000,-,-,環保局,環保公園,環保公園,志工認養,未解列,土城區公所(環境)/新北市政府綠美化環境景觀處(植栽),新北市土城區金城路一段101號,何浩熙/技士,2273-2000#356,土城區自然景觀保護協會,106.01.01-114.12.31,8,-,-,111,特殊貢獻獎(志工組),,
apr-41,93,新北市,小南灣段下福小段1627地號腐植土堆置場址復育綠化,新北市林口區下福里99號之2,25.114263,121.29082,25.1143,121.2908,279326.22,2778469.32,7.000,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,新北市政府環境保護局八里垃圾掩埋場,新北市八里區中山路三段403號,盧韋丞/科員,2619-2153#26,達和環保股份有限公司,110.10.01-114.09.30,4,-,-,-,-,,
apr-42,93,新北市,石槽垃圾場垃圾場綠化,北宜路由坪林市區往宜蘭方向，走台9線約42.5公里處,24.909274,121.717853,24.9093,121.7179,322519.16,2755922.89,0.319,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,坪林區清潔隊,新北市坪林區北宜公路,鐘文星/隊員,2665-7249#301,-,-,-,-,-,-,-,,
apr-43,94,新北市,三芝埔頭橋環保公園,新北市三芝區埔頭橋,25.251175,121.501287,25.2512,121.5013,300498.27,2793695.64,0.236,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,三芝區公所,新北市三芝區中山路一段32號,塗宏彬/約僱人員,2636-2111#256,-,-,-,-,-,-,-,,
apr-44,94,新北市,土城河濱公園,靠近臺北捷運土城機廠之河岸,24.962549,121.41189,24.9625,121.4119,291590.03,2761687.10,17.350,-,-,環保局,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,新北市政府高灘地工程管理處,新北市板橋區環河西路五段502號,蔡麗香/約僱人員,8969-9596#520,-,-,-,-,-,-,-,,
apr-45,94,新北市,樹林河濱公園,新北市樹林區鹿角溪溼地下游三百公尺,24.970433,121.413757,24.9704,121.4138,291779.21,2762562.71,22.660,-,-,環保局,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,新北市政府高灘地工程管理處,新北市板橋區環河西路五段502號,蔡麗香/約僱人員,8969-9596#520,-,-,-,-,-,-,-,,
apr-46,94,新北市,板橋河濱公園,靠近臺北捷運土城機廠之板橋環保公園,24.992004,121.440455,24.9920,121.4405,294467.23,2764963.69,34.000,-,-,環保局,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,新北市政府高灘地工程管理處,新北市板橋區環河西路五段502號,蔡麗香/約僱人員,8969-9596#520,-,-,-,-,-,-,-,,
apr-47,95,新北市,中和台64線高架橋下,新北市中和區中正路2號前中央分隔島,24.993725,121.503152,24.9937,121.5032,300796.02,2765174.01,1.140,-,-,環保局,道路綠帶,道路綠化,自行維運,未解列,中和區公所(環境)/農業局(綠美化),新北市中和區景平路634-2號,王振恩/課員,2248-2688#412,-,-,-,-,-,-,-,,
apr-48,95,新北市,小南灣段下福小段1627地號腐植土堆置場(D區)綠化,新北市林口區下福里99號之2,25.1133,121.295541,25.1133,121.2955,279800.44,2778359.59,9.200,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,企業認養,未解列,新北市政府環境保護局八里垃圾掩埋場,新北市八里區中山路三段403號,盧韋丞/科員,2619-2153#26,達和環保股份有限公司,110.10.01-114.09.30,4,-,-,-,-,,
apr-49,96,新北市,三重環河北路,環河北路2段與龍門路交叉口(龍門天橋),25.074808,121.502881,25.0748,121.5029,300732.37,2774156.95,-,0.5,0.050,環保局,道路綠帶,道路綠化,自行維運,未解列,三重區公所(環境)/新北市政府綠美化環境景觀處(植栽),新北市三重區新北大道一段11號,江伊頻/課員,2986-2345#343,-,-,-,-,-,-,-,,
apr-50,96,新北市,三重環河南路,三重天后宮對面(福德南路152號),25.058071,121.501403,25.0581,121.5014,300587.90,2772306.60,-,0.5,0.050,環保局,道路綠帶,道路綠化,自行維運,未解列,三重區公所(環境)/新北市政府綠美化環境景觀處(植栽),新北市三重區新北大道一段11號,江伊頻/課員,2986-2345#343,-,-,-,-,-,-,-,,
apr-51,96,新北市,林口橫窠雅路,新北市林口區自強3街33號一帶,25.077124,121.398325,25.0771,121.3983,290179.48,2774376.54,0.500,-,-,環保局,道路綠帶,道路綠化,自行維運,未解列,林口區公所(環境)/新北市政府綠美化環境景觀處(植栽),新北市林口區仁愛路一段378號,洪巧霙/技士,2603-3111#202,-,-,-,-,-,-,-,,
apr-52,96,新北市,新店碧潭河岸綠化計畫,新北市新店區溪洲路196之9號,24.967484,121.529546,24.9675,121.5295,303462.27,2762282.09,1.800,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,新北市政府高灘地工程管理處,新北市板橋區環河西路五段502號,許鑅昌/約僱人員,8969-9596#305,-,-,-,-,-,-,-,,
apr-53,97,新北市,土城頂新公園,新北市土城區中央路4段271巷,24.95403,121.414442,24.9540,121.4144,291845.33,2760746.38,1.800,-,-,環保局,環保公園,環保公園,自行維運,未解列,土城區公所(環境)/新北市政府綠美化環境景觀處(植栽),新北市土城區金城路一段101號,何浩熙/技士,2273-2000#460,-,-,-,-,-,-,-,,
apr-54,97,新北市,陶瓷藝術園區,新北市鶯歌區文化路200號,24.948849,121.350953,24.9488,121.3510,285444.75,2760152.37,4.500,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,新北市市立鶯歌陶瓷博物館,新北市鶯歌區文化路200號,劉淑芬/辦事員,8677-2727#824,-,-,-,-,-,-,-,,
apr-55,97,新北市,新店溪左岸中安便橋段高灘地景觀改善工程（陽光運動公園）,新北市新店區安利街與安業街交會點,24.976801,121.518704,24.9768,121.5187,302367.87,2763307.99,17.000,-,-,環保局,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,新北市政府高灘地工程管理處,新北市板橋區環河西路五段502號,許鑅昌/約僱人員,8969-9596#305,-,-,-,-,-,-,-,,
apr-56,97,新北市,三峽碳中和樂園,新北市三峽區中正路3段262號,24.898036,121.337069,24.8980,121.3371,284055.04,2754522.11,1.800,-,-,環保局,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,企業認養,未解列,新北市政府環保局新店垃圾焚化廠,新北市新店區薏仁坑路自強巷1號,劉燕英/科員,2214-2022#124,滲出水廠,114.01.01-114.12.31,1,-,-,-,-,,
apr-57,97,新北市,青潭國小校園預定地綠化,新北市新店區北宜路二段80號,24.952991,121.552021,24.9530,121.5520,305740.61,2760685.05,0.200,-,-,環境部,廢棄物堆置場綠化,垃圾場/廢棄物堆置場綠化,自行維運,未解列,新店區青潭國民小學,新北市新店區北宜路二段80號,顏佐宇/總務主任,2217-3146#230,-,-,-,-,-,-,-,,
apr-58,98,新北市,新板特區萬坪自然都會公園(第一期工程),板橋捷運站1號出口(文化路一段與民權路口),25.013123,121.461806,25.0131,121.4618,296609.47,2767307.97,1.600,-,-,環保局,環保公園,環保公園,自行維運,未解列,新北市政府板橋區公所,新北市板橋區府中路30號,吳佩芬/臨時人員,2968-6911#386,-,-,-,-,-,-,-,,
apr-59,100,新北市,樹林綠能環教休閒中心,樹林區中山路3段212號,24.96848,121.376347,24.9685,121.3763,287993.58,2762341.24,1.600,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,企業認養,未解列,新北市政府環保局樹林垃圾焚化廠,新北市樹林區中山路三段212號, 吳長玟/技佐,2680-8217#112,松素環保有限公司,111.11.01-113.11.30,2,-,-,-,-,,
apr-60,110,新北市,貢寮街126號後方空地,新北市貢寮區北40鄉道126號,25.020297,121.907613,25.0203,121.9076,341600.56,2768332.89,0.020,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,貢寮區清潔隊,新北市貢寮區長泰路20之2號,魏永達/隊員,2494-2221#202,貢寮區貢寮里里辦公處,110.01.01-113.12.31,3,-,-,-,-,,
apr-61,110,新北市,北38鄉道(高分坪林電桿11 C0740BE43旁),北38鄉道(高分坪林電桿11 C0740BE43旁),25.037659,121.857596,25.0377,121.8576,336541.80,2770227.41,0.030,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,雙溪區清潔隊,新北市雙溪區共和里東榮街25號,林巧薰/隊員,2493-1111#150,雙溪區平林里里辦公處,109.10.12-112.10.11,4,-,-,-,-,,
apr-62,110,新北市,橫科活動中心旁,新北市汐止橫科活動中心旁,25.050749,121.620008,25.0507,121.6200,312557.88,2771536.53,0.040,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,汐止區清潔隊,新北市汐止區新台五路一段268號7樓,張哲誠/隊員,2643-0403#703,汐止區橫科里里辦公處,110.03.24-113.03.23,3,-,-,-,-,,
apr-63,111,新北市,樹林區復興路202號旁,新北市樹林區復興路202號旁,24.990434,121.419584,24.9904,121.4196,292357.96,2764779.78,0.030,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,樹林區清潔隊,新北市樹林區保安街一段7號5樓,李沛潔/隊員,2687-4446#34,樹林區樹西里里辦公處,111.01.01-114.12.31,3,-,-,-,-,,
apr-64,111,新北市,貢寮區德心街10號,新北市貢寮區德心街10號,25.015516,121.919015,25.0155,121.9190,342754.79,2767808.95,0.050,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,貢寮區清潔隊,新北市貢寮區長泰路20之2號,魏永達/隊員,2494-2221#202,貢寮區雙玉里里辦公處,111.01.01-114.12.31,3,-,-,-,-,,
apr-65,111,新北市,橫科活動中心旁,新北市汐止橫科活動中心旁,25.050749,121.620008,25.0507,121.6200,312557.88,2771536.53,0.030,-,-,環保局,空地/裸露地綠化,空地/裸露地綠化,自行維運,未解列,汐止區清潔隊,新北市汐止區新台五路一段268號7樓,張哲誠/隊員,2643-0403#703,汐止區橫科里里辦公處,110.03.24-113.03.23,2,-,-,-,-,,
apr-66,85,臺北市,公204(八仙公園),臺北市北投區公館路423巷6弄,25.12057097,121.5027615,25.1206,121.5028,300703.40,2779229.99,0.284,-,-,環境部,環保公園,環保公園,志工認養,設置中,工務局公園路燈工程管理處陽明所,臺北市士林區中山北路五段378巷26號,江文君,(02)2883-2130#103,私立禾康康復中心,民國114年1月1日至民國114年12月31日,4年,73,-,"民國111年、
民國113年","111-優良認養單位甄選【優等獎】
113-臺北市環保局優良認養單位甄選【優等獎】
114-優良認養單位甄選【服務模範獎】
114-臺北市環保局優良認養單位甄選【優等獎】",,
apr-67,85,臺北市,公104(洲子一號),臺北市內湖區基湖路32號,25.08076528,121.5645539,25.0808,121.5646,306953.99,2774846.12,0.960,-,-,環境部,環保公園,環保公園,企業認養,設置中,工務局公園路燈工程管理處花卉試驗中心,臺北市士林區仰德大道四段175巷32號,陳蕙君,(02)2792-5828#290,鴻海精密工業(股)公司,民國114年6月30日至民國116年7月1日,12年,176,-,"民國103年-民國105年
民國108年-民國111年
民國113年","103-優良認養單位甄選【優勝獎】
104-優良認養單位甄選【特優獎】
105-優良認養單位甄選【貢獻獎】
108-優良認養單位甄選【貢獻銀質獎】
109-優良認養單位甄選【佳作獎】
110-優良認養單位甄選【優勝獎】
111-優良認養單位甄選【服務模範獎】
113-臺北市環保局優良認養單位甄選【特優獎】
114-臺北市環保局優良認養單位甄選【特優獎】",,
